VarName1,Name,Cmp,Wiki,Status,LiftoffThrust,PayloadtoLEO,Stages,Strapons,RocketHeight,Price,PayloadtoGTO,FairingDiameter,FairingHeight,Rocket_Category
299,"PSLV-G",ISRO,https://en.wikipedia.org/wiki/Polar_Satellite_Launch_Vehicle#Variants,Retired,6887,3.25,4,6,44.5,25,1.41,3.2,8.3,PSLV
300,"PSLV-QL",ISRO,https://en.wikipedia.org/wiki/Polar_Satellite_Launch_Vehicle#Variants,Active,7661,0,4,4,44,21,0,3.2,8.3,PSLV
301,"PSLV-XL",ISRO,https://en.wikipedia.org/wiki/Polar_Satellite_Launch_Vehicle#Variants,Active,7661,3.25,4,6,44,31,1.41,3.2,8.3,PSLV
302,"Qased",ISA,https://fr.wikipedia.org/wiki/Qased,Active,255,0,3,0,18.6,NaN,0,1,2.6,Qased
303,"Redstone Sparta",AMBA,https://en.wikipedia.org/wiki/PGM-11_Redstone,Retired,350,2.86,3,0,21,NaN,0,NaN,NaN,Redstone Sparta
304,"Rocket 3",Astra,https://fr.wikipedia.org/wiki/Rocket_(fus%C3%A9e),Active,133,0.204,2,0,11.6,2.5,0,NaN,NaN,Rocket 3
305,"Rokot/Briz K",Khrunichev,https://en.wikipedia.org/wiki/Rokot,Retired,NaN,0,3,0,NaN,NaN,0,NaN,NaN,Rokot/Briz K
306,"Rokot/Briz KM",Khrunichev,https://en.wikipedia.org/wiki/Rokot,Retired,NaN,2.14,3,0,29,41.8,0,NaN,NaN,Rokot/Briz K
307,"Rokot-M/Briz KM-2",Khrunichev,https://en.wikipedia.org/wiki/Rokot,Planned,NaN,2.14,3,0,29,41.8,0,NaN,NaN,Rokot-M/Briz KM-2
308,"Safir-1",ISA,https://en.wikipedia.org/wiki/Safir_(rocket),Retired,284,0.027,2,0,26,NaN,0,NaN,NaN,Safir
309,"Safir-1A",ISA,https://en.wikipedia.org/wiki/Safir_(rocket),Retired,314,0.015,2,0,26,NaN,0,NaN,NaN,Safir
310,"Safir-1B",ISA,https://en.wikipedia.org/wiki/Safir_(rocket),Retired,314,0.05,2,0,26,NaN,0,NaN,NaN,Safir
311,"Safir-1B+",ISA,https://en.wikipedia.org/wiki/Safir_(rocket),Active,337,0.05,2,0,26,NaN,0,NaN,NaN,Safir
312,"SARGE",Exos,https://en.wikipedia.org/wiki/Exos_Aerospace#SARGE,Active,NaN,0,1,0,11,NaN,0,0.51,0.91,SARGE
313,"Saturn I",NASA,https://en.wikipedia.org/wiki/Saturn_I,Retired,6700,9.07,2,0,55,NaN,0,NaN,NaN,Saturn I
314,"Saturn IB",NASA,https://en.wikipedia.org/wiki/Saturn_IB,Retired,7100,21,2,0,43.2,NaN,0,NaN,NaN,Saturn IB
