VarName1,Name,Cmp,Wiki,Status,LiftoffThrust,PayloadtoLEO,Stages,Strapons,RocketHeight,Price,PayloadtoGTO,FairingDiameter,FairingHeight,Rocket_Category
0,"Tsyklon-3",Yuzhmash,https://en.wikipedia.org/wiki/Tsyklon-3,Retired,3032,4.1,3,0,39,NaN,0,NaN,NaN,Tsyklon
1,"Tsyklon-4M",Yuzhnoye,https://en.wikipedia.org/wiki/Cyclone-4M,Planned,3130,5,2,0,38.7,45,0.91,4,NaN,Tsyklon
2,"Unha-2",KCST,https://en.wikipedia.org/wiki/Unha,Retired,1192,0.2,3,0,28,NaN,0,NaN,NaN,Unha
3,"Unha-3",KCST,https://en.wikipedia.org/wiki/Unha,Active,1192,0.2,3,0,32,NaN,0,1.3,NaN,Unha
4,"Vanguard",US Navy,https://en.wikipedia.org/wiki/Vanguard_(rocket),Retired,135,0.01,3,0,23,NaN,0,NaN,NaN,Vanguard
5,"Vector-H",Vector,https://en.wikipedia.org/wiki/Vector-H,Planned,175,0.15,2,0,18.3,3,0,0.6,0.8,Vector-H
6,"Vector-R",Vector,https://en.wikipedia.org/wiki/Vector-R,Planned,81,0.065,2,0,13,2,0,0.6,0.8,Vector-R
7,"Vega",ESA,https://en.wikipedia.org/wiki/Vega_(rocket),Active,2200,1.436,4,0,29.9,37,0,2.6,7.88,Vega
8,"Vega C",ESA,https://en.wikipedia.org/wiki/Vega_(rocket),Planned,4500,2.2,4,0,35,NaN,0,NaN,NaN,Vega C
9,"Vega E",ESA,https://en.wikipedia.org/wiki/Vega_(rocket),Planned,NaN,0,4,0,35,NaN,0,NaN,NaN,Vega E
10,"VLS-1",AEB,https://en.wikipedia.org/wiki/VLS-1,Active,623,0.38,3,4,19,NaN,0,1,NaN,VLS-1
11,"Volna",Makeyev,https://en.wikipedia.org/wiki/Volna,Retired,NaN,0.1,3,0,15,NaN,0,NaN,NaN,Volna
12,"Voskhod",OKB-1,https://en.wikipedia.org/wiki/Voskhod_(rocket),Retired,NaN,5.9,2,4,31,NaN,0,3,NaN,Voskhod
13,"Vostok",OKB-1,https://en.wikipedia.org/wiki/Vostok-K,Retired,3894,4.73,2,4,31,NaN,0,NaN,NaN,Vostok
14,"Vostok-2",OKB-1,https://en.wikipedia.org/wiki/Vostok-2_(rocket),Retired,995,4.73,2,4,NaN,NaN,0,NaN,NaN,Vostok
15,"Vostok-2A",OKB-1,https://en.wikipedia.org/wiki/Vostok_(rocket_family),Retired,NaN,4.5,3,4,NaN,NaN,0,NaN,NaN,Vostok
16,"Vostok-2M",OKB-1,https://en.wikipedia.org/wiki/Vostok-2M,Retired,NaN,0,3,4,NaN,NaN,0,NaN,NaN,Vostok
17,"Vulcan Centaur",ULA,https://en.wikipedia.org/wiki/Vulcan_%28rocket%29,Planned,NaN,17.8,2,NaN,58.3,NaN,15.3,5.4,NaN,Vulcan Centaur
18,"Zenit-2",Yuzhmash,https://en.wikipedia.org/wiki/Zenit-2,Retired,8181,1.2,2,0,57,NaN,5,4.1,13.7,Zenit
19,"Zenit-2 FG",Yuzhmash,https://en.wikipedia.org/wiki/Zenit_%28rocket_family%29,Active,7400,11.74,2,0,57,NaN,4,4.1,10.4,Zenit
20,"Zenit-3 SL",Yuzhmash,https://en.wikipedia.org/wiki/Zenit_%28rocket_family%29,Active,8180,13.74,3,0,59.6,NaN,6,3.9,NaN,Zenit
21,"Zenit-3 SLB",Yuzhmash,https://en.wikipedia.org/wiki/Zenit_%28rocket_family%29,Active,7400,13.74,3,0,57,NaN,5,4.1,10.4,Zenit
22,"Zenit-3 SLBF",Yuzhmash,https://en.wikipedia.org/wiki/Zenit-3F,Active,8180,13.74,3,0,57,NaN,6,4.1,10.4,Zenit
23,"Zéphyr",Venture OS,https://fr.wikipedia.org/wiki/Z%C3%A9phyr_(fus%C3%A9e),Planned,56,0.08,2,0,12.3,NaN,0,1,NaN,Zéphyr
24,"ZhuQue-1",Landspace,https://en.wikipedia.org/wiki/LandSpace,Retired,450,0.3,3,0,19,NaN,0,NaN,NaN,ZhuQue-1
25,"ZhuQue-2",Landspace,https://en.wikipedia.org/wiki/LandSpace#Zhuque-2,Planned,216,4,2,0,NaN,NaN,0,NaN,NaN,ZhuQue-2
26,"Angara 1.1",Khrunichev,https://en.wikipedia.org/wiki/Angara_(rocket_family),Planned,196,2,2,0,35,NaN,0,NaN,NaN,Angara
27,"Angara 1.2",Khrunichev,https://en.wikipedia.org/wiki/Angara_(rocket_family),Active,196,3.7,2,0,41.5,NaN,0,NaN,NaN,Angara
28,"Angara A5/Briz-M",Khrunichev,https://en.wikipedia.org/wiki/Angara_(rocket_family)#Angara_A5,Active,7680,0,3,4,NaN,NaN,5.4,NaN,NaN,Angara
29,"Angara A5/DM-03",Khrunichev,https://en.wikipedia.org/wiki/Angara_(rocket_family)#Angara_A5,Planned,7680,0,3,4,NaN,NaN,0,NaN,NaN,Angara
30,"Angara A5M",Khrunichev,https://en.wikipedia.org/wiki/Angara_(rocket_family)#Angara_A5,Planned,7680,0,2,4,NaN,NaN,0,NaN,NaN,Angara
31,"Antares 110",Yuzhnoye,https://en.wikipedia.org/wiki/Antares_(rocket),Retired,1630,0,2,0,40.5,80,0,3.94,4.87,Antares
32,"Antares 120",Yuzhnoye,https://en.wikipedia.org/wiki/Antares_(rocket),Retired,1630,4.6,2,0,40.5,80,1.5,3.94,9.87,Antares
33,"Antares 130",Yuzhnoye,https://en.wikipedia.org/wiki/Antares_(rocket),Retired,1630,5.1,2,0,40.5,80,0,3.94,9.87,Antares
34,"Antares 230",Yuzhnoye,https://en.wikipedia.org/wiki/Antares_(rocket),Retired,1922,7,2,0,41.9,85,0,3.9,9.9,Antares
35,"Antares 230+",Yuzhnoye,https://en.wikipedia.org/wiki/Antares_%28rocket%29#Antares_230+,Active,3265,8,2,0,42.5,85,0,3.9,9.9,Antares
36,"Ares 1-X",NASA,https://en.wikipedia.org/wiki/Ares_I,Retired,15000,0,1,0,94,450,0,NaN,NaN,Ares 1-X
37,"Ariane 1",ESA,https://en.wikipedia.org/wiki/Ariane_1,Retired,2772,1.4,4,0,50,NaN,1.85,NaN,NaN,Ariane 1
38,"Ariane 2",ESA,https://en.wikipedia.org/wiki/Ariane_2,Retired,2580,0,3,0,49.13,NaN,2.175,NaN,NaN,Ariane 2
39,"Ariane 3",ESA,https://en.wikipedia.org/wiki/Ariane_3,Retired,5100,0,3,2,49.13,NaN,2.7,NaN,NaN,Ariane 3
40,"Ariane 40",ESA,https://en.wikipedia.org/wiki/Ariane_4,Retired,3034,5,3,0,58.72,NaN,2,NaN,NaN,Ariane 4
41,"Ariane 42L",ESA,https://en.wikipedia.org/wiki/Ariane_4,Retired,4538,0,3,2,58.72,NaN,3.48,NaN,NaN,Ariane 4
42,"Ariane 42P",ESA,https://en.wikipedia.org/wiki/Ariane_4,Retired,4334,0,3,2,58.72,NaN,2.93,NaN,NaN,Ariane 4
43,"Ariane 44L",ESA,https://en.wikipedia.org/wiki/Ariane_4,Retired,6000,0,3,4,58.72,NaN,4.72,NaN,NaN,Ariane 4
44,"Ariane 44LP",ESA,https://en.wikipedia.org/wiki/Ariane_4,Retired,5800,0,3,4,58.72,NaN,4.22,NaN,NaN,Ariane 4
45,"Ariane 44P",ESA,https://en.wikipedia.org/wiki/Ariane_4,Retired,4334,0,3,4,58.72,NaN,3.46,NaN,NaN,Ariane 4
46,"Ariane 5 ECA",ESA,https://en.wikipedia.org/wiki/Ariane_5,Active,15120,21,2,2,53,200,10.5,5.4,17,Ariane 5
47,"Ariane 5 ES",ESA,https://en.wikipedia.org/wiki/Ariane_5,Retired,15120,21,2,2,50.5,NaN,0,5.4,17,Ariane 5
48,"Ariane 5 G",ESA,https://en.wikipedia.org/wiki/Ariane_5,Retired,11400,0,2,2,52,NaN,6.9,NaN,NaN,Ariane 5
49,"Ariane 5 G+",ESA,https://en.wikipedia.org/wiki/Ariane_5,Retired,NaN,6.2,2,2,NaN,190,6.95,NaN,NaN,Ariane 5
50,"Ariane 5 GS",ESA,https://en.wikipedia.org/wiki/Ariane_5,Retired,NaN,0,2,2,NaN,NaN,6.6,NaN,NaN,Ariane 5
51,"Ariane 62",ESA,https://en.wikipedia.org/wiki/Ariane_6,Planned,8370,10.35,2,2,63,88,5,5.4,20,Ariane 6
52,"Ariane 64",ESA,https://en.wikipedia.org/wiki/Ariane_6,Planned,15370,21.65,2,4,63,106,11.5,5.4,20,Ariane 6
53,"Ariane 64 / Icarus",ESA,https://en.wikipedia.org/wiki/Ariane_6,Planned,15370,25,2,4,63,100,15,5.4,20,Ariane 6
54,"ASLV",ISRO,https://en.wikipedia.org/wiki/Augmented_Satellite_Launch_Vehicle,Retired,1005,0.15,5,2,24,NaN,0,1,NaN,ASLV
55,"Athena I",Lockheed,https://en.wikipedia.org/wiki/Athena_I,Retired,1900,0.82,3,NaN,18.9,NaN,0,NaN,NaN,Athena I
56,"Athena II",Lockheed,https://en.wikipedia.org/wiki/Athena_II,Retired,1900,0,4,NaN,28.2,NaN,0.593,NaN,NaN,Athena II
57,"Atlas-D Able",General Dynamics,https://en.wikipedia.org/wiki/Atlas-Able,Retired,1587,0,3,0,35,NaN,0,NaN,NaN,Atlas-D
58,"Atlas-D Mercury",NASA,https://en.wikipedia.org/wiki/Atlas_LV-3B,Retired,1517,1.36,2,0,28.7,NaN,0,NaN,NaN,Atlas-D
59,"Atlas-D OV1",General Dynamics,https://en.wikipedia.org/wiki/SM-65D_Atlas,Retired,1601,0,2,0,NaN,NaN,0,NaN,NaN,Atlas-D
60,"Atlas-E/F Agena D",General Dynamics,https://en.wikipedia.org/wiki/Atlas-Agena,Retired,NaN,0,2,0,NaN,NaN,0,NaN,NaN,Atlas-E
61,"Atlas-E/F Altair",Lockheed,https://en.wikipedia.org/wiki/Atlas_E/F,Retired,NaN,0.21,2,0,NaN,NaN,0,NaN,NaN,Atlas-E
62,"Atlas-E/F Burner",General Dynamics,<undefined>,Retired,NaN,0.95,2,0,NaN,NaN,0,NaN,NaN,Atlas-E
63,"Atlas-E/F MSD",General Dynamics,https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-MSD,Retired,NaN,0.8,2,0,NaN,NaN,0,NaN,NaN,Atlas-E
64,"Atlas-E/F OIS",General Dynamics,https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-OIS,Retired,NaN,0.87,2,0,NaN,NaN,0,NaN,NaN,Atlas-E
65,"Atlas-E/F OV1",General Dynamics,https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-OV1,Retired,NaN,0.363,2,0,NaN,NaN,0,NaN,NaN,Atlas-E
66,"Atlas-E/F PTS",General Dynamics,https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-PTS,Retired,NaN,0.295,2,0,NaN,NaN,0,NaN,NaN,Atlas-E
67,"Atlas-E/F SGS-1",General Dynamics,https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-SGS,Retired,NaN,0,3,0,NaN,NaN,0,NaN,NaN,Atlas-E
68,"Atlas-E/F SGS-2",General Dynamics,https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-SGS,Retired,NaN,0,3,0,NaN,NaN,0,NaN,NaN,Atlas-E
69,"Atlas-E/F Star-17A",General Dynamics,https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-Star,Retired,NaN,0,2,0,NaN,NaN,0,NaN,NaN,Atlas-E
70,"Atlas-E/F Star-37S-ISS",General Dynamics,https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-Star,Retired,NaN,0,2,0,NaN,NaN,0,NaN,NaN,Atlas-E
71,"Atlas-G Centaur-D1AR",General Dynamics,https://en.wikipedia.org/wiki/Atlas_G,Retired,NaN,5.9,2,0,NaN,NaN,2.222,NaN,NaN,Atlas-G Centaur-D1AR
72,"Atlas-H MSD",General Dynamics,https://en.wikipedia.org/wiki/Atlas_H,Retired,NaN,0,2,0,NaN,NaN,0,NaN,NaN,Atlas-H MSD
73,"Atlas I",General Dynamics,https://en.wikipedia.org/wiki/Atlas_I,Retired,NaN,0,2,0,43.9,NaN,0,NaN,NaN,Atlas I
74,"Atlas II",Lockheed,https://en.wikipedia.org/wiki/List_of_Atlas_launches_(1990–1999),Retired,2111,6.78,2,0,47.5,NaN,2.81,NaN,NaN,Atlas II
75,"Atlas IIA",Lockheed,https://en.wikipedia.org/wiki/List_of_Atlas_launches_(1990–1999),Retired,21111,7.316,2,0,47.5,NaN,3.18,NaN,NaN,Atlas II
76,"Atlas IIAS",Lockheed,https://en.wikipedia.org/wiki/List_of_Atlas_launches_(1990–1999),Retired,3068,8.618,2,4,47.5,NaN,3.933,NaN,NaN,Atlas II
77,"Atlas IIIA",Lockheed,https://en.wikipedia.org/wiki/Atlas_III,Retired,4149,8.64,2,0,52.8,NaN,4.055,4.2,12.2,Atlas III
78,"Atlas IIIB",Lockheed,https://en.wikipedia.org/wiki/Atlas_III,Retired,4149,10.218,2,0,52.8,NaN,4.5,4.2,12.2,Atlas III
79,"Atlas-LV3 Agena-A",General Dynamics,https://en.wikipedia.org/wiki/Atlas-Agena,Retired,NaN,1.25,2,0,NaN,NaN,0,NaN,NaN,Atlas-LV3
80,"Atlas-LV3 Agena-B",General Dynamics,https://en.wikipedia.org/wiki/Atlas-Agena,Retired,NaN,1.725,2,0,NaN,NaN,0,NaN,NaN,Atlas-LV3
81,"Atlas-LV3 Agena-D",General Dynamics,https://en.wikipedia.org/wiki/Atlas-Agena,Retired,NaN,0,2,0,NaN,NaN,0,NaN,NaN,Atlas-LV3
82,"Atlas-LV3C Centaur-A",General Dynamics,https://en.wikipedia.org/wiki/Atlas-Centaur,Retired,NaN,0,2,0,NaN,NaN,0,NaN,NaN,Atlas-LV3
83,"Atlas-LV3C Centaur-B",General Dynamics,https://en.wikipedia.org/wiki/Atlas-Centaur,Retired,NaN,0,2,0,NaN,NaN,0,NaN,NaN,Atlas-LV3
84,"Atlas-LV3C Centaur-C",General Dynamics,https://en.wikipedia.org/wiki/Atlas-Centaur,Retired,NaN,0,2,0,NaN,NaN,0,NaN,NaN,Atlas-LV3
85,"Atlas-LV3C Centaur-D",General Dynamics,https://en.wikipedia.org/wiki/Atlas-Centaur,Retired,NaN,0,2,0,NaN,NaN,0,NaN,NaN,Atlas-LV3
86,"Atlas SLV-3",General Dynamics,https://en.wikipedia.org/wiki/Atlas_SLV-3,Retired,NaN,0.8,NaN,0,NaN,NaN,0,NaN,NaN,Atlas SLV-3
87,"Atlas-SLV3A Agena-D",General Dynamics,https://en.wikipedia.org/wiki/Atlas-Agena,Retired,NaN,0,2,0,NaN,NaN,0,NaN,NaN,Atlas-SLV
88,"Atlas-SLV3 Agena-B",General Dynamics,https://en.wikipedia.org/wiki/Atlas-Agena,Retired,NaN,0,2,0,NaN,NaN,0,NaN,NaN,Atlas-SLV
89,"Atlas-SLV3 Agena-D",General Dynamics,https://en.wikipedia.org/wiki/Atlas-Agena,Retired,NaN,1.825,2,0,NaN,NaN,0,NaN,NaN,Atlas-SLV
90,"Atlas-SLV3B Agena-D",General Dynamics,https://en.wikipedia.org/wiki/Atlas-Agena,Retired,NaN,0,2,0,NaN,NaN,0,NaN,NaN,Atlas-SLV
91,"Atlas-SLV3 Burner-2",General Dynamics,https://en.wikipedia.org/wiki/Atlas_SLV-3,Retired,NaN,0,2,0,NaN,NaN,0,NaN,NaN,Atlas-SLV
92,"Atlas-SLV3C Centaur-D",General Dynamics,https://en.wikipedia.org/wiki/Atlas-Centaur,Retired,NaN,0,2,0,NaN,NaN,0,NaN,NaN,Atlas-SLV
93,"Atlas-SLV3D Centaur-D1A",General Dynamics,https://en.wikipedia.org/wiki/Atlas-Centaur,Retired,NaN,0,2,0,NaN,NaN,0,NaN,NaN,Atlas-SLV
94,"Atlas-SLV3D Centaur-D1AR",General Dynamics,https://en.wikipedia.org/wiki/Atlas-Centaur,Retired,NaN,0,2,0,NaN,NaN,0,NaN,NaN,Atlas-SLV
95,"Atlas V 401",ULA,https://en.wikipedia.org/wiki/Atlas_V,Active,3826,9.797,2,0,58.3,109,4.75,4.2,13.8,Atlas V
96,"Atlas V 411",ULA,https://en.wikipedia.org/wiki/Atlas_V,Active,5515,12.03,2,1,58.3,115,5.95,4.2,13.8,Atlas V
97,"Atlas V 421",ULA,https://en.wikipedia.org/wiki/Atlas_V,Active,7204,13.6,2,2,58.3,123,6.89,4.2,13.8,Atlas V
98,"Atlas V 431",ULA,https://en.wikipedia.org/wiki/Atlas_V,Active,8892,15.26,2,3,59.1,130,7.7,4.2,13.8,Atlas V
99,"Atlas V 501",ULA,https://en.wikipedia.org/wiki/Atlas_V,Active,3826,8.21,2,0,62.2,120,3.78,5.4,26.5,Atlas V
100,"Atlas V 511",ULA,https://en.wikipedia.org/wiki/Atlas_V,Active,5515,11,2,1,62.2,130,5.25,5.4,26.5,Atlas V
101,"Atlas V 521",ULA,https://en.wikipedia.org/wiki/Atlas_V,Active,7204,13.5,2,2,62.2,135,6.48,5.4,26.5,Atlas V
102,"Atlas V 531",ULA,https://en.wikipedia.org/wiki/Atlas_V,Active,8892,15.53,2,3,62.2,140,7.45,5.4,26.5,Atlas V
103,"Atlas V 541",ULA,https://en.wikipedia.org/wiki/Atlas_V,Active,10581,17.41,2,4,62.2,145,8.29,5.4,26.5,Atlas V
104,"Atlas V 551",ULA,https://en.wikipedia.org/wiki/Atlas_V,Active,12269,18.85,2,5,62.2,153,8.9,5.4,26.5,Atlas V
105,"Atlas V 552",ULA,https://en.wikipedia.org/wiki/Atlas_V,Planned,12269,20.52,2,5,62.2,NaN,0,5.4,26.5,Atlas V
106,"Atlas V N22",ULA,https://en.wikipedia.org/wiki/Atlas_V,Active,7204,13,2,2,NaN,NaN,0,NaN,NaN,Atlas V
107,"Black Arrow",RAE,https://en.wikipedia.org/wiki/Black_Arrow,Retired,256,0.135,3,NaN,13,NaN,0,NaN,NaN,Black Arrow
108,"Blue Scout II",Vought,https://en.wikipedia.org/wiki/RM-90_Blue_Scout_II,Retired,471,0,4,0,24,NaN,0,NaN,NaN,Scout
109,"Ceres-1",Galactic Energy,<undefined>,Planned,588,0.35,4,0,19,4.9,0,1.28,2.6,Ceres-1
110,"Commercial Titan III",Martin Marietta,https://en.wikipedia.org/wiki/Commercial_Titan_III,Retired,12450,14.515,2,2,47,136.6,0,NaN,NaN,Titan III
111,"Conestoga-1620",EER,https://en.wikipedia.org/wiki/Conestoga_(rocket),Retired,NaN,1.179,4,6,NaN,20,0,NaN,NaN,Conestoga-1620
112,"Cosmos-1 (65S3)",OKB-586,https://en.wikipedia.org/wiki/Kosmos_(rocket_family),Retired,NaN,0.4,2,0,31,NaN,0,1.6,NaN,Cosmos
113,"Cosmos-2I (63S1)",OKB-586,https://en.wikipedia.org/wiki/Kosmos_(rocket_family),Retired,NaN,0.4,2,0,31,NaN,0,1.6,NaN,Cosmos
114,"Cosmos-2I (63SM)",OKB-586,https://en.wikipedia.org/wiki/Kosmos-2I,Retired,NaN,0.45,2,0,31,NaN,0,1.6,NaN,Cosmos
115,"Cosmos-3 (11K65)",OKB-586,https://en.wikipedia.org/wiki/Kosmos-3,Retired,1740,1.4,2,0,26,NaN,0,1.6,NaN,Cosmos
116,"Cosmos-3M (11K65M)",OKB-586,https://en.wikipedia.org/wiki/Kosmos-3M,Retired,1485,1.5,2,0,32,NaN,0,2.4,NaN,Cosmos
117,"Cosmos-3MRB (65MRB)",OKB-586,https://en.wikipedia.org/wiki/Kosmos-3,Retired,1740,1.4,2,0,26,NaN,0,1.4,NaN,Cosmos
118,"Delta 3920-8",Douglas,https://en.wikipedia.org/wiki/Delta_3000,Retired,3188,0,2,9,NaN,NaN,0,2.9,NaN,Delta
119,"Delta 4925-8",Boeing,https://en.wikipedia.org/wiki/Delta_(rocket_family)#Delta_4000-Series,Retired,3469,3.4,3,9,34,NaN,1.2,2.44,NaN,Delta
120,"Delta A",US Air Force,https://en.wikipedia.org/wiki/Delta_A,Retired,NaN,0.32,3,0,NaN,NaN,0.068,NaN,NaN,Delta
121,"Delta B",US Air Force,https://en.wikipedia.org/wiki/Delta_B,Retired,NaN,0.375,3,0,NaN,NaN,0.068,NaN,NaN,Delta
122,"Delta C",US Air Force,https://en.wikipedia.org/wiki/Delta_C,Retired,667,0.41,3,0,31,NaN,0.082,NaN,NaN,Delta
123,"Delta II 6920-10",Boeing,https://en.wikipedia.org/wiki/Delta_II,Retired,3481,3.95,2,9,38.9,NaN,0,3,8.9,Delta II
124,"Delta II 6920-8",Boeing,https://en.wikipedia.org/wiki/Delta_II,Retired,3481,3.983,2,9,38.1,NaN,0,2.4,8.49,Delta II
125,"Delta II 6925",Boeing,https://en.wikipedia.org/wiki/Delta_II,Retired,3481,0,3,9,38.1,NaN,1.447,2.9,8.49,Delta II
126,"Delta II 6925-8",Boeing,https://en.wikipedia.org/wiki/Delta_II,Retired,3481,0,3,9,38.1,NaN,1.46,2.4,8.49,Delta II
127,"Delta II 7320-10C",ULA,https://en.wikipedia.org/wiki/Delta_II,Retired,2533,2.703,2,3,38.9,NaN,0,3,8.9,Delta II
128,"Delta II 7326",ULA,https://en.wikipedia.org/wiki/Delta_II,Retired,2533,0,3,3,38.1,NaN,0.934,2.9,8.49,Delta II
129,"Delta II 7420-10C",ULA,https://en.wikipedia.org/wiki/Delta_II,Retired,3020,3.099,2,4,38.9,NaN,0,3,8.9,Delta II
130,"Delta II 7425",ULA,https://en.wikipedia.org/wiki/Delta_II,Retired,3020,0,3,4,38.1,NaN,1.11,2.9,8.49,Delta II
131,"Delta II 7425-10C",ULA,https://en.wikipedia.org/wiki/Delta_II,Retired,3020,0,3,4,38.9,NaN,1.073,3,8.9,Delta II
132,"Delta II 7426",ULA,https://en.wikipedia.org/wiki/Delta_II,Retired,3020,0,4,3,38.1,NaN,1.058,2.9,8.49,Delta II
133,"Delta II 7920-10",Boeing,https://en.wikipedia.org/wiki/Delta_II,Retired,3511,4.8,2,9,38.9,NaN,0,3,8.9,Delta II
134,"Delta II 7920-10C",ULA,https://en.wikipedia.org/wiki/Delta_II,Retired,3511,4.844,2,9,38.9,NaN,0,3,8.9,Delta II
135,"Delta II 7920-10L",ULA,https://en.wikipedia.org/wiki/Delta_II,Retired,3511,4.805,2,9,39.3,NaN,0,3,9.3,Delta II
136,"Delta II 7920-8",ULA,https://en.wikipedia.org/wiki/Delta_II,Retired,3511,5,2,9,38.1,NaN,0,2.4,8.49,Delta II
137,"Delta II 7920H",ULA,https://en.wikipedia.org/wiki/Delta_II,Retired,4398,6.097,2,9,38.1,NaN,0,2.9,8.49,Delta II
138,"Delta II 7920H-10C",ULA,https://en.wikipedia.org/wiki/Delta_II,Retired,4398,5.959,2,9,38.9,NaN,0,3,8.9,Delta II
139,"Delta II 7925",ULA,https://en.wikipedia.org/wiki/Delta_II,Retired,3511,0,3,9,38.1,NaN,1.819,2.9,8.49,Delta II
140,"Delta II 7925-10",Boeing,https://en.wikipedia.org/wiki/Delta_II,Retired,3511,0,3,9,38.9,NaN,1.73,3,8.9,Delta II
141,"Delta II 7925-10C",ULA,https://en.wikipedia.org/wiki/Delta_II,Retired,3511,0,3,9,38.9,NaN,1.747,3,8.9,Delta II
142,"Delta II 7925-10L",ULA,https://en.wikipedia.org/wiki/Delta_II,Retired,3511,0,3,9,39.3,NaN,1.739,3,9.3,Delta II
143,"Delta II 7925-8",ULA,https://en.wikipedia.org/wiki/Delta_II,Retired,3511,0,3,9,38.1,NaN,1.78,2.4,8.49,Delta II
144,"Delta II 7925H",ULA,https://en.wikipedia.org/wiki/Delta_II,Retired,4398,0,3,9,38.1,NaN,2.171,2.9,8.49,Delta II
145,"Delta III 8930",Boeing,https://en.wikipedia.org/wiki/Delta_III,Retired,628,8.29,2,9,35,NaN,3.81,4,10.84,Delta II
146,"Delta IV Heavy",ULA,https://en.wikipedia.org/wiki/Delta_IV_Heavy,Active,9411,28.37,2,2,72,350,13.81,5.1,19.1,Delta IV
147,"Delta IV Medium",Boeing,https://en.wikipedia.org/wiki/Delta_(rocket_family)#Delta_M,Retired,3137,8.8,2,0,62.5,133,4.54,4,11.75,Delta IV
148,"Delta IV Medium+ (4,2)",ULA,https://en.wikipedia.org/wiki/Delta_IV,Retired,4895,10.44,2,2,62.5,164,6.39,4,11.75,Delta IV
149,"Delta IV Medium+ (5,2)",ULA,https://en.wikipedia.org/wiki/Delta_IV,Retired,4895,9.61,2,2,66.4,NaN,5.08,5.1,19.1,Delta IV
150,"Delta IV Medium+ (5,4)",ULA,https://en.wikipedia.org/wiki/Delta_IV,Retired,6653,11.6,2,4,66.4,NaN,6.89,5.1,19.1,Delta IV
151,"Diamant A",Aérospatiale,https://en.wikipedia.org/wiki/Diamant,Retired,274,0.08,3,0,16.95,NaN,0,0.65,2.16,Diamant
152,"Diamant B",Aérospatiale,https://en.wikipedia.org/wiki/Diamant,Retired,348,0.115,3,0,24.2,NaN,0,0.85,2.8,Diamant
153,"Diamant BP4",Aérospatiale,https://en.wikipedia.org/wiki/Diamant,Retired,317,0.112,3,0,21.64,NaN,0,1.45,4.5,Diamant
154,"Dnepr",Yuzhnoye,https://en.wikipedia.org/wiki/Dnepr_(rocket),Retired,4520,4.5,3,0,34.3,29,0,3,NaN,Dnepr
155,"Electron",Rocket Lab,https://en.wikipedia.org/wiki/Electron_(rocket),Active,162,0.3,2,0,17,7.5,0,1.2,NaN,Electron
156,"Electron/Curie",Rocket Lab,https://en.wikipedia.org/wiki/Electron_(rocket),Active,162,0.3,3,0,17,7.5,0,1.2,2.5,Electron
157,"Electron/Photon",Rocket Lab,https://en.wikipedia.org/wiki/Electron_(rocket),Planned,162,0.3,3,0,17,NaN,0,1.2,NaN,Electron
158,"Energiya/Buran",RKK Energiya,https://en.wikipedia.org/wiki/Energia#Development,Retired,394723,100.05,1,4,59,5000,30,NaN,NaN,Energiya
159,"Energiya/Polyus",RKK Energiya,https://en.wikipedia.org/wiki/Energia#Development,Retired,39473,100.05,1,4,59,5000,30,NaN,NaN,Energiya
160,"Epsilon",JAXA,https://en.wikipedia.org/wiki/Epsilon_(rocket),Active,1612,0,3,0,26,NaN,0,2.5,9.19,Epsilon
161,"Epsilon Demo",JAXA,https://en.wikipedia.org/wiki/Epsilon_(rocket),Retired,1621,0.49,4,0,24,NaN,0,2.5,9.19,Epsilon
162,"Epsilon PBS",JAXA,https://en.wikipedia.org/wiki/Epsilon_(rocket),Active,1612,0.7,4,0,26,39,0,2.5,9.19,Epsilon
163,"Epsilon S",JAXA,https://en.wikipedia.org/wiki/Epsilon_(rocket),Planned,1612,1.4,4,0,27,NaN,0,2.5,9.19,Epsilon
164,"Europa 1",CECLES,https://en.wikipedia.org/wiki/Europa_(rocket),Retired,3962,1.44,3,0,31.68,NaN,0.2,2,NaN,Europa 1
165,"Europa 2",CECLES,https://en.wikipedia.org/wiki/Europa_(rocket),Retired,8372,0,4,0,31.68,NaN,0.36,2,NaN,Europa 2
166,"Falcon 1",SpaceX,https://en.wikipedia.org/wiki/Falcon_1,Retired,343,0.47,2,0,22.25,7,0,1.5,3.5,Falcon 1
167,"Falcon 9 Block 3",SpaceX,https://en.wikipedia.org/wiki/Falcon_9,Retired,6804,22.8,2,0,70,62,8.3,5.2,13,Falcon 9
168,"Falcon 9 Block 4",SpaceX,https://en.wikipedia.org/wiki/Falcon_9,Retired,6804,22.8,2,0,70,62,8.3,5.2,13,Falcon 9
169,"Falcon 9 Block 5",SpaceX,https://en.wikipedia.org/wiki/Falcon_9,Active,7607,22.8,2,0,70,50,8.3,5.2,13,Falcon 9
