Current Official Name of Satellite,Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Launch Site,Launch Vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-11,Russia,Gonets Satcom,Government/Commercial,Communications,LEO,0.00,"1,497","1,508",6.99E-04,82.40,116,280,3/31/15,7,Plesetsk Cosmodrome,Rokot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-12,Russia,Gonets Satcom,Government/Commercial,Communications,LEO,0.00,"1,494","1,506",7.62E-04,82.40,116,280,3/31/15,7,Plesetsk Cosmodrome,Rokot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-13,Russia,Gonets Satcom,Government/Commercial,Communications,LEO,0.00,"1,171","1,504",2.16E-02,82.40,116,280,3/31/15,7,Plesetsk Cosmodrome,Rokot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-14,Russia,Gonets Satcom,Government/Commercial,Communications,LEO,0.00,"1,482","1,507",1.59E-03,82.49,115.86,270,9/11/13,7,Plesetsk Cosmodrome,Rokot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-16,Russia,Gonets Satcom,Government/Commercial,Communications,LEO,0.00,"1,493","1,508",9.53E-04,82.49,116,270,9/11/13,7,Plesetsk Cosmodrome,Rokot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-17,Russia,Gonets Satcom,Government/Commercial,Communications,LEO,0.00,"1,494","1,509",9.53E-04,92.49,116.02,270,9/11/13,7,Plesetsk Cosmodrome,Rokot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-18,Russia,Gonets Satcom,Government/Commercial,Communications,LEO,0.00,"1,479","1,510",1.97E-03,82.52,115.87,280,7/3/14,7,Plesetsk Cosmodrome,Rokot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-19,Russia,Gonets Satcom,Government/Commercial,Communications,LEO,0.00,"1,480","1,512",2.03E-03,82.51,115.89,280,7/3/14,7,Plesetsk Cosmodrome,Rokot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-20,Russia,Gonets Satcom,Government/Commercial,Communications,LEO,0.00,"1,478","1,509",1.97E-03,82.51,115.84,280,7/3/14,7,Plesetsk Cosmodrome,Rokot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets-M-24,Russia,Gonets Satcom,Government/Commercial,Communications,LEO,0.00,"1,498","1,505",4.45E-04,82.51,116.01,280,12/26/19,7,Plesetsk Cosmodrome,Rokot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-25,Russia,Gonets Satcom,Government/Commercial,Communications,LEO,0.00,"1,499","1,507",5.08E-04,82.51,116.01,280,12/26/19,7,Plesetsk Cosmodrome,Rokot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets-M-26,Russia,Gonets Satcom,Government/Commercial,Communications,LEO,0.00,"1,500","1,507",4.45E-04,82.50,116.01,280,12/26/19,7,Plesetsk Cosmodrome,Rokot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOSAT-2,Japan,"JAXA, Ministry of Environment, National Institute of Environmental Studies",Government,Earth Observation,LEO,0.00,585,599,1.01E-03,97.85,96.5,"1,800",10/29/18,5,Tanegashima Space Center,H2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GovSat-1,Luxembourg,LuxGovSat,Government/Military,Communications,GEO,21.50,"35,766","35,807",4.86E-04,0.00,1436.1,"4,230",1/31/18,15,Cape Canaveral,Falcon 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIM,USA,National Aeronautics and Space Administration (NASA),Government,Technology Development,LEO,0.00,701,729,1.98E-03,24.00,99,180,6/25/19,1,Cape Canaveral,Falcon Heavy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM Core Observatory,USA/Japan,National Aeronautics and Space Administration (NASA)/JAXA,Government,Earth Observation,LEO,0.00,392,409,1.26E-03,65.02,92.57,"3,850",2/27/14,,Tanegashima Space Center,H2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grace Follow-on-1,USA/Germany,NASA/German Research Centre for Geosciences (GFZ),Government,Earth Observation,LEO,0.00,485,504,1.38E-03,88.90,94.5,600,5/22/18,5,Vandenberg AFB,Falcon 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grace Follow-on-2,USA/Germany,NASA/German Research Centre for Geosciences (GFZ),Government,Earth Observation,LEO,0.00,484,504,1.46E-03,88.90,94.5,600,5/22/18,5,Vandenberg AFB,Falcon 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibuki,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,LEO,0.00,668,670,1.42E-04,98.10,98.1,"1,750",1/23/09,5,Tanegashima Space Center,H2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIFEX,USA,University of Michigan/NASA Earth Science Technology Office,Government/Civil,Technology Development,LEO,0.00,441,659,1.58E-02,99.10,95.5,4,1/31/15,,Vandenberg AFB,Delta 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRUS-1,Japan,Axelspace,Commercial,Earth Observation,LEO,0.00,570,582,8.64E-04,97.70,96.2,100,12/27/18,5,Vostochny Cosmodrome,Soyuz 2.1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-10,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,83.00,"35,777","35,795",2.13E-04,0.06,1436.07,"3,400",9/28/12,15,Guiana Space Center,Ariane 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-11,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,74.00,"35,775","35,798",2.73E-04,0.12,1436.09,"5,854",12/4/18,15,Guiana Space Center,Ariane 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-12,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,82.94,"35,761","35,811",5.93E-04,0.09,1436.1,"1,410",7/15/11,8,Satish Dhawan Space Centre,PSLV C17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-14,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,74.00,"35,763","35,810",5.57E-04,0.23,1436.1,"1,982",1/5/14,12,Satish Dhawan Space Centre,GSLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-15,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,93.50,"35,782","35,805",2.73E-04,0.10,1436.1,"3,164",1/10/15,12,Guiana Space Center,Ariane 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-16,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,55.00,"35,776","35,798",2.61E-04,0.18,1436.1,"3,181",12/6/14,15,Guiana Space Center,Ariane 5 ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-17,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,93.50,"35,757","35,817",7.12E-04,0.00,1436.1,"3,477",6/28/17,15,Guiana Space Center,Ariane 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-18,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,74.00,"35,775","35,812",4.39E-04,0.00,1436.1,"3,404",10/5/16,15,Guiana Space Center,Ariane 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-19E,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,82.50,"35,777","35,795",2.13E-04,0.00,1436.1,"3,136",6/3/17,10,Satish Dhawan Space Centre,GSLV MK.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-29,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,55.00,"37,782","37,807",2.83E-04,0.10,1436.1,"3,400",11/14/18,10,Satish Dhawan Space Centre,GSLV MK.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-30,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,83.00,"35,794","35,844",5.93E-04,0.12,1437.7,"3,357",1/16/20,15,Guiana Space Center,Ariane 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-31,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,48.00,"35,774","35,799",2.97E-04,0.10,1436.1,"2,536",2/5/19,15,Guiana Space Center,Ariane 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-6,India,Indian Space Research Organization (ISRO),Government/Commercial,Communications,GEO,83.00,"35,775","35,775",0.00E+00,0.00,1436.1,"2,110",8/27/15,12,Satish Dhawan Space Centre,GSLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-7,India,Indian Navy,Military,Communications,GEO,74.00,"35,757","35,814",6.76E-04,0.19,1436,"2,650",8/29/13,7,Guiana Space Center,Ariane 5 ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-7A,India,Indian Air Force,Military,Communications,GEO,62.70,"35,777","35,796",2.25E-04,0.01,1436.11,"2,250",12/19/18,8,Satish Dhawan Space Centre,GSLV Mk.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-8,India,Indian Space Research Organization (ISRO),Government,Communications/Navigation,GEO,55.00,"35,782","35,796",1.66E-04,0.09,1436.23,"3,093",5/20/11,12,Guiana Space Center,Ariane 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-Satellite,Japan,Tokyo 2020 One Team Project,Civil,Communications,LEO,0.00,413,418,3.68E-04,51.60,92.9,3,4/28/20,,International Space Station,J-SSOD Deployer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 253,USA,Air Force Satellite Control Network,Military,Space Observation,GEO,149.04,"35,741","35,784",5.10E-04,0.09,1434.9,,7/28/14,,Cape Canaveral,Delta 4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 254,USA,Air Force Satellite Control Network,Military,Space Observation,GEO,115.41,"35,758","35,795",4.39E-04,0.06,1435.6,,7/28/14,,Cape Canaveral,Delta 4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 270,USA,Air Force Satellite Control Network,Military,Space Observation,GEO,-111.17,"35,749","35,820",8.42E-04,0.03,1436.02,,8/19/16,,Cape Canaveral,Delta 4M+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 271,USA,Air Force Satellite Control Network,Military,Space Observation,GEO,-126.25,"35,769","35,899",1.54E-03,0.01,1438.54,,8/19/16,,Cape Canaveral,Delta 4M+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiyang 1C,China,State Oceanic Administration (SOA),Government,Earth Observation,LEO,0.00,769,786,1.19E-03,98.60,100.4,442,9/7/18,,Taiyuan Launch Center,Long March 2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiyang 1D,China,State Oceanic Administration (SOA),Government,Earth Observation,LEO,0.00,770,785,1.05E-03,98.40,100.4,442,6/10/20,,Taiyuan Launch Center,Long March 2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiyang 2A,China,State Oceanic Administration (SOA),Government,Earth Observation,LEO,0.00,965,967,1.36E-04,99.40,104.4,"1,500",8/15/11,3,Taiyuan Launch Center,Long March 4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiyang 2B,China,State Oceanic Administration (SOA),Government,Earth Observation,LEO,0.00,949,957,5.46E-04,99.30,104.1,"1,500",10/24/18,3,Taiyuan Launch Center,Long March 4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HaloSat,USA,University of Iowa,Government,Space Science,LEO,0.00,399,407,5.91E-04,51.60,92.6,10,7/13/18,,International Space Station,Nanorack Deployer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk-A,USA,HawkEye 360,Commercial,Surveillance,LEO,0.00,577,590,9.35E-04,97.70,96.3,15,12/3/18,,Vandenberg AFB,Falcon 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk-B,USA,HawkEye 360,Commercial,Surveillance,LEO,0.00,577,590,9.35E-04,97.70,96.3,15,12/3/18,,Vandenberg AFB,Falcon 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk-C,USA,HawkEye 360,Commercial,Surveillance,LEO,0.00,574,592,1.29E-03,97.70,96.3,15,12/3/18,,Vandenberg AFB,Falcon 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAD-1,China,HEAD Aerospace,Commercial,Earth Observation,LEO,0.00,796,809,9.06E-04,98.60,100.9,45,11/14/17,3,Taiyuan Launch Center,Long March 4C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
